"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","block","event","trial_type","trial_index","time_elapsed","internal_node_id","resp","target","pid","sid"
"19698","key"," "," ","16.685012701100764","720","200","no_feedback","trial","psychophysics","0","19713","0.0-0.0-0.0","61","53","1","1"
"9129","key"," "," ","16.711926605504587","720","200","no_feedback","trial","psychophysics","1","28846","0.0-0.0-0.1","31","27","1","1"
"10484","key"," "," ","16.708133971291865","720","200","no_feedback","trial","psychophysics","2","39334","0.0-0.0-0.2","77","61","1","1"
"12614","key"," "," ","16.71087533156499","720","200","no_feedback","trial","psychophysics","3","51950","0.0-0.0-0.3","75","62","1","1"
"11437.000000000007","key"," "," ","16.71156661786237","720","200","no_feedback","trial","psychophysics","4","63390","0.0-0.0-0.4","61","51","1","1"
"10792.999999999993","key"," "," ","16.711627906976744","720","200","no_feedback","trial","psychophysics","5","74187","0.0-0.0-0.5","51","42","1","1"
"8435","key"," "," ","16.71230158730159","720","200","no_feedback","trial","psychophysics","6","82625","0.0-0.0-0.6","48","42","1","1"
"20652","key"," "," ","16.71093117408907","720","200","no_feedback","trial","psychophysics","7","103281","0.0-0.0-0.7","80","66","1","1"
"6505","key"," "," ","16.712082262210796","720","200","no_feedback","trial","psychophysics","8","109789","0.0-0.0-0.8","24","20","1","1"
"5274","key"," "," ","16.713375796178344","720","200","no_feedback","trial","psychophysics","9","115065","0.0-0.0-0.9","34","30","1","1"
"5216","key"," "," ","16.708333333333332","720","200","feedback","trial","psychophysics","10","120284","0.0-1.0-0.0","38","34","1","1"
"7221","key"," "," ","16.751162790697673","720","250","feedback","feedback","psychophysics","11","127514","0.0-1.0-1.0","","","1","1"
"5696","key"," "," ","16.711764705882352","720","200","feedback","trial","psychophysics","12","133213","0.0-1.0-0.1","32","26","1","1"
"4533","key"," "," ","16.71217712177122","720","250","feedback","feedback","psychophysics","13","137749","0.0-1.0-1.1","","","1","1"
"6396","key"," "," ","16.712041884816752","720","200","feedback","trial","psychophysics","14","144148","0.0-1.0-0.2","52","42","1","1"
"1278","key"," "," ","16.706666666666667","720","250","feedback","feedback","psychophysics","15","145430","0.0-1.0-1.2","","","1","1"
"15590.99999999997","key"," "," ","16.71137339055794","720","200","feedback","trial","psychophysics","16","161039","0.0-1.0-0.3","69","59","1","1"
